name,lat,lon
Parthenais / de Rouen,45.530990590275316,-73.55934709452413
Berri / Laurier,45.52801498056221,-73.58817509377332
Calixa-Lavallée / Rachel (ouest),45.52782894394495,-73.5719577784721
Gauthier / de Lorimier,45.53166363055749,-73.56536373496056
Gauthier / Papineau,45.529727921630254,-73.56720596693776
Émile-Duployé / Rachel,45.52970707609694,-73.56998120721983
des Érables / Rachel,45.533268294539454,-73.56660163302877
de Lanaudière / du Mont-Royal,45.53008802331729,-73.57688208474428
Henri-Julien / Duluth,45.519708622694985,-73.57674568891525
du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677
du Parc-La Fontaine / Roy,45.5231827906644,-73.56890878641934
Calixa-Lavallée / Sherbrooke,45.52479,-73.56545
Émile-Duployé / Sherbrooke,45.52719536319051,-73.5645255446434
Chapleau / du Mont-Royal,45.53867,-73.56936
Messier / du Mont-Royal,45.53711414,-73.5710031
Parthenais / du Mont-Royal,45.53640396516409,-73.57141345739365
Marie-Anne / de Bordeaux,45.53356432968997,-73.57059647902133
Marie-Anne / Papineau,45.53176697148175,-73.5724139213562
Marquette / du Mont-Royal,45.53221791147474,-73.57543140649796
Parc St-Roch (Ball / Durocher),45.531988684096795,-73.63144129514694
Marie-Anne / de la Roche,45.52759334588709,-73.57625037573598
Chambord / du Mont-Royal,45.52971150206338,-73.57721829859656
Gilford / de Brébeuf,45.530870247773066,-73.58155757188797
20e avenue / de Bellechasse,45.55992951142522,-73.5767751932144
Garnier / Gilford,45.53250674403981,-73.58016096510255
Marquette / du Mont-Royal (sud),45.53207722797955,-73.57514306902884
St-Dominique / de Bellechasse,45.52952466565309,-73.60488876700401
Marquette / Laurier,45.53543,-73.5822
de Lanaudière / Laurier,45.53325634495565,-73.58357376420827
Laurier / de Brébeuf,45.5325884011355,-73.58466408217282
St-Grégoire / Christophe-Colomb,45.53255611409675,-73.58993947505951
Garnier / St-Grégoire,45.5358215436799,-73.58710169792175
Marmier / St-Denis,45.53080495407925,-73.59839648008347
Boyer / du Mont-Royal,45.52749327748997,-73.57999514846595
St-André / Laurier,45.52951608646879,-73.5875448033039
Paré / Mountain Sights,45.49808281150267,-73.6530089378357
Berri / Cherrier,45.519266156911335,-73.5692971944809
Roy / St-Denis,45.51910107799227,-73.57268296636903
du Parc-La Fontaine / Rachel,45.52551168509886,-73.57424452900887
St-Hubert / Duluth,45.522425652788634,-73.57418417930603
St-André / Rachel,45.52409561323593,-73.57537156904073
Duluth / St-Denis,45.52062760607925,-73.57594907283782
McGill / Wellington,45.49945196134134,-73.55490782832021
Clark / Rachel,45.517537449207474,-73.58241524554614
de l'Hôtel-de-Ville / du Mont-Royal,45.522178004145694,-73.58460858464241
Laval / du Mont-Royal,45.5223645775784,-73.58414590358734
Resther / du Mont-Royal,45.52560376254711,-73.58171582221985
des Érables / Bélanger,45.54912085535069,-73.60087350010872
St-Hubert / Laurier,45.52899865438042,-73.58811474407048
McGill / Place d'Youville,45.500014581102505,-73.55625258141116
de Mentana / Marie-Anne,45.526026565221414,-73.57785880565643
Chabot / Villeray,45.552289376429215,-73.61300647258759
Berri / Gilford,45.52677632748293,-73.58606100082396
St-Zotique / St-Urbain,45.53090273805036,-73.61400783105636
Waverly / Bernard,45.52562443297396,-73.60413372516632
de l'Esplanade / Fairmount,45.521546574453595,-73.59697759151459
Maguire / de Gaspé,45.526110205402006,-73.59430432330555
de Bullion / Laurier,45.52448601488588,-73.5913065727982
Villeneuve / St-Dominique,45.522272664526696,-73.58870131898584
de Bordeaux / Masson,45.539037937964046,-73.58252048492432
Hélène-Baillargeon / St-Denis,45.52973581777825,-73.59512954950333
Clark / St-Viateur,45.5251943015533,-73.59935637563467
Maguire / St-Laurent,45.524628485592636,-73.5958108305931
de l'Hôtel-de-Ville / Villeneuve,45.52348082760688,-73.58732756238169
Aylmer / Sherbrooke,45.50632270771772,-73.57282285902329
Ste-Famille / Milton,45.510873780916974,-73.57253248624147
Prince-Arthur / du Parc,45.51050104659654,-73.57557892799377
Ste-Famille / des Pins,45.512856179335664,-73.57692807912827
Boyer / Jean-Talon,45.541374968866094,-73.61213207244873
Milton / St-Laurent,45.512916325090295,-73.57055649161339
Métro Sauvé (Berri / Sauvé),45.550692068419764,-73.65636706352234
des Pins / St-Laurent,45.51522812881499,-73.5750961303711
Duluth / de l'Esplanade,45.515132275425785,-73.58105599880219
Coloniale / Marie-Anne,45.5199736855172,-73.58307659669663
du Square Saint-Louis / Laval,45.51608652423074,-73.570156325477
Mackay / Sherbrooke,45.49729137739268,-73.57993644714952
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.51487490356938,-73.58486406505108
Vallières / St-Laurent,45.518967223320054,-73.5836161673069
de l'Hôtel-de-Ville / Roy,45.51735388793467,-73.57456291167182
Rachel / de Brébeuf,45.526911494644025,-73.5727014299664
du Mont-Royal / Clark,45.51941,-73.58685
Viger / St-Alexandre,45.50277718129152,-73.56257831950643
de l'Esplanade / Rachel,45.51632578806269,-73.58348769172153
Villeneuve / du Parc,45.518197623521424,-73.59239235520363
de l'Esplanade / Villeneuve,45.51943184213857,-73.59095953859651
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.57556589690592,-73.56098317064607
Jeanne-Mance / Laurier,45.52027633320609,-73.59497621666378
Parc Plage,45.502634,-73.527491
Waverly / St-Viateur,45.52392772648164,-73.60018442851468
Jeanne-Mance / St-Viateur,45.52298923814366,-73.60188654625745
Clark / de l'Arcade,45.527371996141,-73.60398352146149
Fabre / Laurier,45.53458302814292,-73.5826286687734
Chambord / Gilford,45.53149589691095,-73.58106877662067
St-Dominique / Napoléon,45.51666442219882,-73.57722043991089
de Bordeaux / Jean-Talon,45.54975479298636,-73.60556602478027
Clanranald / de la Côte-St-Luc,45.47900836315578,-73.62692713737488
Dorion / Gauthier,45.53081165221863,-73.56643053399237
Bloomfield / Bernard,45.5203025695855,-73.60770916839101
Bloomfield / Van Horne,45.52269103555241,-73.6132076382637
Métro Outremont (Stuart / Van Horne),45.519795315302375,-73.61585622045823
St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563
Coloniale / Rachel,45.51902715372042,-73.58109146374773
Mozart / Drolet,45.536325056800145,-73.61286163330078
Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925
Alma / Dante,45.53471042512659,-73.61165037020328
Mozart / St-Laurent,45.53328624709234,-73.61546382309369
Métro Jean-Talon (Berri / Jean-Talon),45.53907429044591,-73.61433579217191
Boyer / Bélanger,45.54006,-73.60897
Boyer / St-Zotique,45.53866220045916,-73.60580742359161
de St-Vallier / St-Zotique,45.53642012551291,-73.60808193683624
de Lanaudière / Rosemont,45.537836704410026,-73.59235455855014
Durocher / Sherbrooke,45.507088290505685,-73.57227981090546
Cartier / Dandurand,45.53923559055867,-73.58594566583633
Louis-Hémon / Rosemont,45.54430551341823,-73.58791708946228
Christophe-Colomb / Beaubien,45.53783932655299,-73.60115647315979
Hingston / de Monkland,45.470499497658096,-73.62758696079254
de Bordeaux / de Bellechasse,45.54325917626278,-73.59154611825943
Le Ber / Ste-Madeleine,45.480416979305645,-73.55316370725632
Louis-Hémon / de Bellechasse,45.5453890204187,-73.5900852098348
Chabot / Beaubien,45.54445579363651,-73.59582424163818
de Normanville / Beaubien,45.53939319024553,-73.60060073439854
Wurtele / de Rouen,45.53762520750301,-73.55345231517276
Fabre / St-Zotique,45.543653916207866,-73.60126135876271
Prince-Albert / St-Jean-Baptiste,45.640138058064,-73.4923571348736
6e Avenue / Bélanger,45.554582815249745,-73.59631910920143
Cartier / Bélanger,45.546779039476185,-73.60281676054001
Christophe-Colomb / St-Joseph,45.53036486555959,-73.58439266681671
Parc de Turin (de Lanaudière / Jean-Talon),45.545350334193245,-73.61032962799072
de la Roche / Bélanger,45.54159135681213,-73.60757953489156
Louis-Hémon / St-Zotique,45.548551910039606,-73.59688212736727
Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623
St-Maurice / St-Henri,45.49980867018228,-73.55891436338425
Holt / Fullum,45.543937325185645,-73.58444631099701
de St-Vallier / Rosemont,45.531921043052655,-73.59804779291153
Boyer / Rosemont,45.53409866804061,-73.59553456306458
de Bellechasse / de St-Vallier,45.53341043363302,-73.60112428665161
Augustin-Cantin / Shearer,45.48390169543355,-73.56363236904144
Marie-Anne / St-Hubert,45.5246829812827,-73.5788968205452
Vézina / Westbury,45.49368023334263,-73.64615975684501
Ste-Catherine / du Fort,45.491942347417705,-73.58135426489753
de l'Esplanade / Bernard,45.525135263474645,-73.60465995037885
Hutchison / Van Horne,45.52496238180383,-73.61054605806203
Bernard / Jeanne-Mance,45.52429587282263,-73.60491156578064
Parc Henri-Julien (Legendre / Henri-Julien),45.546128338386644,-73.64650368695946
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),45.551574858642525,-73.58225226402283
Boyer / de Bellechasse,45.53578876027516,-73.59934665262699
du Séminaire / de la Montagne,45.4921078892434,-73.56246292591095
de la Montagne / Notre-Dame,45.492913379064625,-73.5646878182888
Fullum / Gilford,45.539198007249375,-73.5737818479538
Louis-Hébert / Beaubien,45.54821642528045,-73.59205909073353
St-Dominique / Laurier,45.52368736307361,-73.59259269202084
Métro Charlevoix (Centre / Charlevoix),45.47840089832752,-73.56956273317337
Notre-Dame / St-Martin,45.48830194643546,-73.56871783733366
St-Dominque / de Maisonneuve,45.511034860260054,-73.56477499008179
6e avenue / Wellington,45.45542715196195,-73.56789708137512
6404,0.0,0.0
St-Antoine / de la Montagne,45.49552402605236,-73.56838613759464
Marché Atwater,45.48020822800015,-73.57759863138199
Workman / Vinet,45.483788863965174,-73.5750612616539
Métro Georges-Vanier (Terrasse Coursol / Canning),45.48882629021402,-73.57531207291686
de l'Hôtel-de-Ville / Rachel,45.51989655507833,-73.58010649681091
4e avenue / de Verdun,45.45686162938348,-73.57212341392369
de Darlington / Van Horne,45.50802125812845,-73.62575437880878
Bel-Air / St-Antoine,45.4824297233159,-73.58367975812143
Goyer / Côte-des-Neiges,45.50322673702521,-73.6364937480721
Drolet / St-Zotique,45.53488214147823,-73.60941231250763
de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.49546010143993,-73.62238839279598
Parc Rosemary-Brown (McLynn / Plamondon),45.489762999003595,-73.64815503369755
10e avenue / Masson,45.550393662727416,-73.5737616321785
de Bordeaux / St-Joseph,45.53683253167888,-73.57777421686478
La Fontaine / Lyall,45.57943760505458,-73.5196280479431
Bourbonnière / Ontario,45.547982377134296,-73.54323193501841
Bourbonnière / Hochelaga,45.54987688385806,-73.54922890663147
des Pins / Hutchison,45.51077694102021,-73.57825007289647
Aylwin / Ontario,45.544290485374304,-73.54523241519928
Dézéry / Ontario,45.54095791741757,-73.54702949523926
Parc Lalancette (de Rouen / Valois),45.54814504700217,-73.5471260547638
La Fontaine / Bossuet,45.5692653047045,-73.5261806845665
Marché Maisonneuve (Ontario / Morgan),45.55320739706075,-73.53961640599664
Desjardins / Ontario,45.55118417872238,-73.54087114334106
Guizot / St-Laurent,45.5396962357613,-73.634512424469
Faillon / St-Denis,45.539890852781404,-73.62026989459991
Drolet / Gounod,45.54095134225734,-73.62637460231781
de Gaspé / Jarry,45.540780049797995,-73.63040059804916
Guizot / St-Denis,45.543423548290185,-73.63246187567711
